基层党组织在社区产业发展中起到了引领作用,基层党组织能够站在村民的立场上做事并为群众的利益服务,社区现有的娱乐活动和文化活动能满足民众的精神需求,社区在村史和乡村文化上做过宣传和研究工作,社区实现了经济与生态的协同发展,满意程度
是,是,否,否,否,6
是,是,是,否,否,5
是,是,是,是,是,6
是,是,是,是,是,8
否,是,否,否,否,4
是,是,否,否,否,5
是,是,否,是,是,6
是,是,是,是,是,6
是,是,是,是,是,9
否,是,是,是,是,8
是,是,是,是,是,7
是,是,是,是,是,6
是,是,否,是,是,10
是,是,是,是,是,3
是,是,是,是,是,6
是,是,是,是,是,8
是,是,是,是,是,7
是,是,是,是,否,4
是,是,是,是,否,9
是,是,是,是,是,7
是,是,是,是,是,8
是,是,是,是,是,10
是,是,是,是,是,7
是,是,是,是,是,10
是,是,是,否,是,6
是,是,是,是,是,6
是,是,是,是,是,4
是,是,是,是,是,7
是,是,是,是,是,7
是,是,是,是,是,9
是,是,是,是,是,8
是,是,是,是,是,4
是,是,否,否,否,2
是,是,是,是,是,7
是,是,是,是,是,8
是,是,是,否,是,8
是,是,是,是,否,8
是,是,否,是,否,5
是,是,否,否,是,9
是,是,否,是,是,4
是,是,是,是,是,9
是,是,否,是,是,4
是,是,是,是,是,9
是,否,否,否,是,7
是,是,是,是,是,8
是,是,是,是,是,8
是,是,是,否,是,5
是,是,是,是,是,10
是,是,否,是,是,6
是,是,是,是,是,9
是,是,是,是,否,4
是,否,否,是,是,2
是,否,否,否,是,7
是,否,是,是,是,5
是,是,否,否,是,10
是,是,否,否,否,2
是,是,是,是,是,9
是,是,是,是,是,6
是,否,是,否,是,6
是,是,是,是,是,9
是,是,否,是,是,2
是,是,是,是,是,6
是,是,是,是,是,8
否,否,否,否,是,7
是,是,是,是,是,6
是,是,是,是,是,10
是,是,否,否,是,6
否,否,否,否,是,7
是,是,是,是,是,9
是,是,否,否,是,7
是,是,是,是,是,8
否,是,是,否,是,6
是,是,是,是,是,4
否,否,是,否,是,6
是,是,是,是,是,7
否,否,否,否,是,9
是,是,是,是,是,6
是,是,是,是,是,10
是,是,是,否,否,6
是,是,是,是,是,4
是,是,否,是,是,7
是,是,是,是,是,6
是,是,是,是,是,9
是,是,是,是,是,6
是,是,是,是,是,7
是,是,是,是,是,5
是,是,是,是,是,4
是,是,是,是,是,4
是,是,是,是,否,4
